Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
tour_idynufedne,0.14711137,0.024143394,0.00015629872,0.14455979,0.052961096,0.63106805
tour_id9r3y5moe,0.1818255,0.7404493,0.01964086,0.0063249,0.003035788,0.048723657
tour_idf6itml6g,0.669372,0.1884446,0.0019455365,0.011693475,0.003336593,0.1252078
tour_id99u4znru,0.012392669,0.02040031,0.00017300998,0.5397269,0.058663942,0.36864316
tour_idj4i9urbx,0.044516202,0.0145443315,3.193718e-05,0.14638154,0.07295279,0.7215732
tour_ids94pi2qs,0.08906889,0.03405536,4.171885e-05,0.13549238,0.04206032,0.69928133
tour_id9xx2dq4e,0.07678244,0.90103036,0.0006660094,0.0044988487,0.0025308523,0.014491451
tour_id9q7cbwf5,0.042311285,0.008338472,1.5925394e-05,0.12051081,0.10431961,0.72450393
tour_id28uzu8li,0.2531421,0.42173496,0.040887777,0.008898178,0.042354226,0.23298274
tour_idf7lvpips,0.034234054,0.008739004,3.2663072e-05,0.3051321,0.2879724,0.3638898
tour_id69abaq9f,0.6516029,0.043168638,0.0022697044,0.15317987,0.009253454,0.14052542
tour_id20ne7vgg,0.06860612,0.0053926087,1.5687654e-05,0.29944324,0.21979578,0.40674657
tour_ida99j69n7,0.17718382,0.78497434,0.0043589016,0.00052114273,0.00054699834,0.032414734
tour_idzwulen6z,0.011827141,0.008993754,7.0879854e-05,0.38659772,0.46061218,0.13189831
tour_id82x4wwmo,0.34888473,0.41298512,0.0019589402,0.014113096,0.03813366,0.18392448
tour_idlhvaq2mf,0.18305282,0.014853724,0.00012534199,0.018881429,0.054222643,0.7288641
tour_id8t7kqb9n,0.7283566,0.18111683,0.006352754,0.013434218,0.00655912,0.064180456
tour_idrn7vpcu5,0.013611075,0.0022888167,2.5393052e-05,0.24462532,0.11622181,0.6232276
tour_idqk4wakw3,0.19050755,0.67722005,0.0021542388,0.015866669,0.00238332,0.111868165
tour_id6fa1ag4g,0.303503,0.052172933,9.469012e-05,0.05735007,0.019774342,0.567105
tour_id8yxycz3h,0.24743019,0.12677386,0.00042995418,0.21898986,0.02263696,0.3837392
tour_idq3khwer6,0.009309839,0.0020491667,1.6418882e-05,0.182082,0.06593079,0.7406118
tour_idhgharflp,0.4675401,0.04952408,0.00015415931,0.100287005,0.03201645,0.35047823
tour_idqjzzhcvz,0.096122704,0.401138,0.44673342,0.0013628238,0.00167172,0.052971393
tour_id0l0xaktp,0.03873674,0.012740563,7.553106e-05,0.12040053,0.019928334,0.8081183
tour_idbg22qq89,0.038840823,0.011034847,0.0002614754,0.25481567,0.19412081,0.5009264
tour_idwkhfwtqp,0.60530925,0.36682823,0.00038069463,0.002129814,0.0006183936,0.024733584
tour_id34dyvoyk,0.07316544,0.016401788,0.00011548269,0.01766772,0.032413878,0.8602357
tour_id5cfn85zh,0.18388574,0.043928877,0.00039220086,0.04803623,0.05029427,0.67346275
tour_id84rchmqs,0.006373864,0.0028508047,3.3756427e-05,0.32707658,0.45114008,0.21252489
tour_idjh4cjj2x,0.055522077,0.01889061,4.9684444e-05,0.17645611,0.14725599,0.6018255
tour_idzy1dc1xm,0.3616693,0.3522175,0.005430102,0.01490396,0.05942638,0.20635273
tour_id80j7qu6z,0.20012136,0.06037553,0.0002914376,0.1121876,0.102506116,0.52451795
tour_iddtkykn6k,0.025089638,0.0046700467,1.968558e-05,0.34069505,0.3078705,0.32165504
tour_idg04qytor,0.11474958,0.7633165,0.07236227,0.0010104997,0.0027185497,0.0458426
tour_idv9sccb8o,0.46739364,0.17077129,0.0009548228,0.0115885725,0.010612077,0.33867958
tour_idfstvxwpt,0.35437936,0.38184577,0.02144174,0.009773321,0.011090747,0.22146906
tour_idw8zh4idj,0.3590402,0.48050967,0.044485364,0.0035943524,0.009727755,0.10264271
tour_idri1bxxwf,0.09295341,0.035261888,4.2426615e-05,0.23138244,0.10333132,0.5370285
tour_id9jns3l59,0.11314257,0.4746645,0.28365803,0.023322841,0.020211108,0.085000984
tour_idykz7qmpj,0.21063004,0.022125458,0.00013593244,0.1185051,0.027095675,0.6215078
tour_idff7h0lmy,0.6273425,0.26553154,0.00062883215,0.012385821,0.0117699355,0.08234138
tour_idjhminmzn,0.72329956,0.18026249,0.0077364254,0.008315692,0.004227955,0.07615783
tour_idiihytata,0.015193412,0.940801,0.033433516,0.0023825588,0.0009243942,0.007265154
tour_idp48ka6jb,0.06416159,0.90221703,0.0031608907,0.004404974,0.0012545044,0.024801033
tour_idthc6m7sk,0.3198644,0.56365997,0.014865888,0.007993556,0.0068099094,0.086806305
tour_idikm37slu,0.38347548,0.53339076,0.0091109965,0.005451048,0.007918311,0.06065337
