iter	MultiClass
0	1.535412467
1	1.406253986
2	1.330120942
3	1.283935234
4	1.239987057
5	1.213365847
6	1.194328735
7	1.183590531
8	1.173996451
9	1.163387936
10	1.157119443
11	1.151683452
12	1.146950366
13	1.140183867
14	1.137176845
15	1.134077593
16	1.130959203
17	1.125967777
18	1.12350067
19	1.121230239
20	1.115923724
21	1.113282435
22	1.111983642
23	1.109135834
24	1.107174685
25	1.105014123
26	1.103994203
27	1.100630411
28	1.098523578
29	1.097480713
30	1.096462403
31	1.095564813
32	1.093808816
33	1.092594671
34	1.091528563
35	1.089745501
36	1.087911936
37	1.085556782
38	1.084303406
39	1.083289089
40	1.082216942
41	1.081427112
42	1.080760825
43	1.079389204
44	1.078480359
45	1.077401115
46	1.076883247
47	1.076479248
48	1.074916341
49	1.073759409
