iter	Passed	Remaining
0	80	3930
1	101	2429
2	126	1989
3	156	1801
4	205	1848
5	235	1724
6	269	1653
7	298	1569
8	319	1455
9	339	1357
10	363	1288
11	389	1234
12	420	1196
13	439	1129
14	462	1078
15	486	1033
16	509	989
17	533	948
18	549	896
19	580	870
20	597	825
21	641	816
22	661	776
23	681	738
24	707	707
25	729	673
26	751	640
27	774	608
28	793	574
29	822	548
30	850	521
31	875	492
32	897	462
33	927	436
34	951	407
35	972	378
36	1002	352
37	1031	325
38	1055	297
39	1080	270
40	1100	241
41	1121	213
42	1146	186
43	1170	159
44	1191	132
45	1210	105
46	1239	79
47	1260	52
48	1284	26
49	1308	0
